address,port,country,city,speed,type,anonymity
3.209.151.222,8118,United States  Ashburn,,560 ms,"HTTP, HTTPS",High
91.207.61.241,1182,Ukraine,,220 ms,HTTPS,High
159.192.147.186,8080,Thailand,,5100 ms,HTTP,No
223.27.194.66,80,Thailand,,5100 ms,HTTP,No
202.29.237.210,3128,Thailand,,4980 ms,HTTP,Medium
159.192.138.170,8080,Thailand,,3940 ms,HTTP,No
202.80.231.67,8080,Thailand,,2560 ms,HTTP,No
203.170.129.56,3128,Thailand,,4060 ms,HTTP,No
203.113.103.54,8080,Thailand,,3100 ms,HTTP,No
27.145.78.13,8118,Thailand  Bangkok,,1560 ms,HTTP,Low
109.224.1.210,50617,Iraq,,4380 ms,HTTP,High
120.132.52.10,8888,China  Beijing,,860 ms,HTTP,High
162.243.107.120,3128,United States  New York,,1180 ms,HTTP,High
207.154.231.217,3128,United States  New York,,1420 ms,HTTP,High
120.132.53.14,8888,China  Beijing,,860 ms,HTTP,High
1.0.0.28,80,Australia  Stirling,,360 ms,HTTP,No
